event_type,support_limb,frame_100hz,source
heel_strike,R,14678,GRF
toe_off,L,14692,GRF
heel_strike,L,14735,GRF
toe_off,R,14749,GRF
heel_strike,R,14790,GRF
toe_off,L,14804,GRF
heel_strike,L,14846,GRF
toe_off,R,14860,GRF
heel_strike,R,14901,GRF
toe_off,L,14915,GRF
heel_strike,L,14956,GRF
toe_off,R,14970,GRF
heel_strike,R,15011,GRF
toe_off,L,15024,GRF
heel_strike,L,15066,GRF
toe_off,R,15079,GRF
heel_strike,R,15121,GRF
toe_off,L,15133,GRF
heel_strike,L,15176,GRF
toe_off,R,15189,GRF
heel_strike,R,15230,GRF
toe_off,L,15243,GRF
heel_strike,L,15283,GRF
toe_off,R,15298,GRF
heel_strike,R,15339,GRF
toe_off,L,15352,GRF
heel_strike,L,15397,GRF
toe_off,R,15409,GRF
heel_strike,R,15454,GRF
toe_off,L,15466,GRF
heel_strike,L,15512,GRF
toe_off,R,15525,GRF
heel_strike,R,15571,GRF
toe_off,L,15583,GRF
heel_strike,L,15626,GRF
toe_off,R,15640,GRF
heel_strike,R,15682,GRF
toe_off,L,15694,GRF
heel_strike,L,15737,GRF
toe_off,R,15751,GRF
heel_strike,R,15791,GRF
toe_off,L,15804,GRF
heel_strike,L,15848,GRF
toe_off,R,15862,GRF
heel_strike,R,15903,GRF
toe_off,L,15916,GRF
heel_strike,L,15957,GRF
toe_off,R,15972,GRF
heel_strike,R,16012,GRF
toe_off,L,16025,GRF
heel_strike,L,16066,GRF
toe_off,R,16080,GRF
heel_strike,R,16122,GRF
toe_off,L,16135,GRF
heel_strike,L,16178,GRF
toe_off,R,16192,GRF
heel_strike,R,16234,GRF
toe_off,L,16247,GRF
heel_strike,L,16288,GRF
toe_off,R,16303,GRF
heel_strike,R,16347,GRF
toe_off,L,16360,GRF
heel_strike,L,16402,GRF
toe_off,R,16416,GRF
heel_strike,R,16457,GRF
toe_off,L,16470,GRF
heel_strike,L,16512,GRF
toe_off,R,16527,GRF
heel_strike,R,16569,GRF
toe_off,L,16582,GRF
heel_strike,L,16623,GRF
toe_off,R,16637,GRF
heel_strike,R,16679,GRF
toe_off,L,16693,GRF
heel_strike,L,16734,GRF
toe_off,R,16747,GRF
heel_strike,R,16788,GRF
toe_off,L,16802,GRF
heel_strike,L,16844,GRF
toe_off,R,16857,GRF
heel_strike,R,16899,GRF
toe_off,L,16913,GRF
heel_strike,L,16955,GRF
toe_off,R,16968,GRF
heel_strike,R,17011,GRF
toe_off,L,17025,GRF
heel_strike,L,17069,GRF
toe_off,R,17082,GRF
heel_strike,R,17126,GRF
toe_off,L,17139,GRF
heel_strike,L,17180,GRF
toe_off,R,17194,GRF
heel_strike,R,17234,GRF
toe_off,L,17247,GRF
heel_strike,L,17289,GRF
toe_off,R,17302,GRF
heel_strike,R,17343,GRF
toe_off,L,17357,GRF
heel_strike,L,17401,GRF
toe_off,R,17413,GRF
heel_strike,R,17458,GRF
toe_off,L,17471,GRF
heel_strike,L,17517,GRF
toe_off,R,17539,GRF
heel_strike,R,17574,GRF
toe_off,L,17586,GRF
heel_strike,L,17629,GRF
toe_off,R,17642,GRF
heel_strike,R,17684,GRF
toe_off,L,17697,GRF
heel_strike,L,17739,GRF
toe_off,R,17753,GRF
heel_strike,R,17795,GRF
toe_off,L,17809,GRF
heel_strike,L,17848,GRF
toe_off,R,17862,GRF
heel_strike,R,17904,GRF
toe_off,L,17918,GRF
heel_strike,L,17962,GRF
toe_off,R,17975,GRF
heel_strike,R,18015,GRF
toe_off,L,18029,GRF
heel_strike,L,18071,GRF
toe_off,R,18084,GRF
heel_strike,R,18125,GRF
toe_off,L,18138,GRF
heel_strike,L,18179,GRF
toe_off,R,18194,GRF
heel_strike,R,18235,GRF
toe_off,L,18248,GRF
heel_strike,L,18293,GRF
toe_off,R,18307,GRF
heel_strike,R,18347,GRF
toe_off,L,18360,GRF
heel_strike,L,18401,GRF
toe_off,R,18415,GRF
heel_strike,R,18456,GRF
toe_off,L,18470,GRF
heel_strike,L,18511,GRF
toe_off,R,18526,GRF
heel_strike,R,18567,GRF
toe_off,L,18580,GRF
heel_strike,L,18623,GRF
toe_off,R,18636,GRF
heel_strike,R,18678,GRF
toe_off,L,18692,GRF
heel_strike,L,18730,GRF
toe_off,R,18745,GRF
heel_strike,R,18788,GRF
toe_off,L,18801,GRF
heel_strike,L,18844,GRF
toe_off,R,18857,GRF
heel_strike,R,18899,GRF
toe_off,L,18913,GRF
heel_strike,L,18955,GRF
toe_off,R,18969,GRF
heel_strike,R,19011,GRF
toe_off,L,19024,GRF
heel_strike,L,19066,GRF
toe_off,R,19081,GRF
heel_strike,R,19123,GRF
toe_off,L,19136,GRF
heel_strike,L,19181,GRF
toe_off,R,19194,GRF
heel_strike,R,19237,GRF
toe_off,L,19248,GRF
heel_strike,L,19293,GRF
toe_off,R,19307,GRF
heel_strike,R,19349,GRF
toe_off,L,19362,GRF
heel_strike,L,19403,GRF
toe_off,R,19417,GRF
heel_strike,R,19462,GRF
toe_off,L,19474,GRF
heel_strike,L,19516,GRF
toe_off,R,19530,GRF
heel_strike,R,19570,GRF
toe_off,L,19584,GRF
heel_strike,L,19626,GRF
toe_off,R,19640,GRF
heel_strike,R,19681,GRF
toe_off,L,19693,GRF
heel_strike,L,19736,GRF
toe_off,R,19750,GRF
heel_strike,R,19791,GRF
toe_off,L,19805,GRF
heel_strike,L,19848,GRF
toe_off,R,19861,GRF
heel_strike,R,19903,GRF
toe_off,L,19916,GRF
heel_strike,L,19957,GRF
toe_off,R,19970,GRF
heel_strike,R,20015,GRF
toe_off,L,20029,kinematic
heel_strike,L,20070,GRF
toe_off,R,20085,GRF
heel_strike,R,20126,GRF
toe_off,L,20139,GRF
heel_strike,L,20181,GRF
toe_off,R,20196,GRF
heel_strike,R,20235,GRF
toe_off,L,20249,GRF
heel_strike,L,20292,GRF
toe_off,R,20306,GRF
heel_strike,R,20347,GRF
toe_off,L,20361,GRF
heel_strike,L,20401,GRF
toe_off,R,20416,GRF
heel_strike,R,20457,GRF
toe_off,L,20470,GRF
heel_strike,L,20511,GRF
toe_off,R,20526,GRF
heel_strike,R,20567,GRF
toe_off,L,20580,GRF
heel_strike,L,20619,GRF
toe_off,R,20633,GRF
heel_strike,R,20675,GRF
toe_off,L,20688,GRF
heel_strike,L,20729,GRF
toe_off,R,20742,GRF
heel_strike,R,20784,GRF
toe_off,L,20798,GRF
heel_strike,L,20839,GRF
toe_off,R,20854,GRF
heel_strike,R,20895,GRF
toe_off,L,20909,GRF
heel_strike,L,20951,GRF
toe_off,R,20965,GRF
heel_strike,R,21006,GRF
toe_off,L,21020,GRF
heel_strike,L,21063,GRF
toe_off,R,21077,GRF
heel_strike,R,21120,GRF
toe_off,L,21134,GRF
heel_strike,L,21177,GRF
toe_off,R,21190,GRF
heel_strike,R,21234,GRF
toe_off,L,21251,GRF
heel_strike,L,21291,GRF
toe_off,R,21305,GRF
heel_strike,R,21347,GRF
toe_off,L,21360,GRF
heel_strike,L,21404,GRF
toe_off,R,21418,GRF
heel_strike,R,21459,GRF
toe_off,L,21471,GRF
heel_strike,L,21515,GRF
toe_off,R,21529,GRF
heel_strike,R,21569,GRF
toe_off,L,21582,GRF
heel_strike,L,21624,GRF
toe_off,R,21639,GRF
heel_strike,R,21680,GRF
toe_off,L,21693,GRF
heel_strike,L,21734,GRF
toe_off,R,21748,GRF
heel_strike,R,21791,GRF
toe_off,L,21803,GRF
heel_strike,L,21847,GRF
toe_off,R,21861,GRF
heel_strike,R,21903,GRF
toe_off,L,21916,GRF
heel_strike,L,21961,GRF
toe_off,R,21975,GRF
heel_strike,R,22015,GRF
toe_off,L,22029,GRF
heel_strike,L,22071,GRF
toe_off,R,22085,GRF
heel_strike,R,22126,GRF
toe_off,L,22140,kinematic
heel_strike,L,22181,GRF
toe_off,R,22195,GRF
heel_strike,R,22238,GRF
toe_off,L,22252,kinematic
heel_strike,L,22294,GRF
toe_off,R,22307,GRF
heel_strike,R,22350,GRF
toe_off,L,22363,GRF
heel_strike,L,22405,GRF
toe_off,R,22420,GRF
heel_strike,R,22461,GRF
toe_off,L,22474,GRF
heel_strike,L,22514,GRF
toe_off,R,22530,GRF
heel_strike,R,22571,GRF
toe_off,L,22584,GRF
heel_strike,L,22627,GRF
toe_off,R,22642,GRF
heel_strike,R,22683,GRF
toe_off,L,22696,GRF
heel_strike,L,22738,GRF
toe_off,R,22753,GRF
heel_strike,R,22793,GRF
toe_off,L,22806,GRF
heel_strike,L,22846,GRF
toe_off,R,22861,GRF
heel_strike,R,22902,GRF
toe_off,L,22915,GRF
heel_strike,L,22959,GRF
toe_off,R,22973,GRF
heel_strike,R,23015,GRF
toe_off,L,23028,GRF
heel_strike,L,23071,GRF
toe_off,R,23085,GRF
heel_strike,R,23125,GRF
toe_off,L,23139,GRF
heel_strike,L,23180,GRF
toe_off,R,23195,GRF
heel_strike,R,23235,GRF
toe_off,L,23248,GRF
heel_strike,L,23290,GRF
toe_off,R,23305,GRF
heel_strike,R,23344,GRF
toe_off,L,23357,GRF
heel_strike,L,23400,GRF
toe_off,R,23413,GRF
heel_strike,R,23454,GRF
toe_off,L,23467,GRF
heel_strike,L,23511,GRF
toe_off,R,23524,GRF
heel_strike,R,23566,GRF
toe_off,L,23578,GRF
heel_strike,L,23622,GRF
toe_off,R,23636,GRF
heel_strike,R,23678,GRF
toe_off,L,23691,GRF
heel_strike,L,23735,GRF
toe_off,R,23748,GRF
heel_strike,R,23791,GRF
toe_off,L,23804,GRF
heel_strike,L,23847,GRF
toe_off,R,23861,GRF
heel_strike,R,23904,GRF
toe_off,L,23918,kinematic
heel_strike,L,23960,kinematic
toe_off,R,23973,GRF
heel_strike,R,24014,GRF
toe_off,L,24028,kinematic
heel_strike,L,24069,GRF
toe_off,R,24083,GRF
heel_strike,R,24125,GRF
toe_off,L,24138,GRF
heel_strike,L,24178,GRF
toe_off,R,24193,GRF
heel_strike,R,24233,GRF
toe_off,L,24246,GRF
heel_strike,L,24287,GRF
toe_off,R,24301,GRF
heel_strike,R,24345,GRF
toe_off,L,24357,GRF
heel_strike,L,24399,GRF
toe_off,R,24414,GRF
heel_strike,R,24457,GRF
toe_off,L,24469,GRF
heel_strike,L,24512,GRF
toe_off,R,24526,GRF
heel_strike,R,24568,GRF
toe_off,L,24582,GRF
heel_strike,L,24624,GRF
toe_off,R,24639,GRF
heel_strike,R,24679,GRF
toe_off,L,24691,GRF
heel_strike,L,24731,GRF
toe_off,R,24747,GRF
heel_strike,R,24786,GRF
toe_off,L,24800,GRF
heel_strike,L,24842,GRF
toe_off,R,24857,GRF
heel_strike,R,24898,GRF
toe_off,L,24911,GRF
heel_strike,L,24952,GRF
toe_off,R,24967,GRF
heel_strike,R,25010,GRF
toe_off,L,25029,GRF
heel_strike,L,25066,GRF
toe_off,R,25080,GRF
heel_strike,R,25122,GRF
toe_off,L,25135,GRF
heel_strike,L,25180,GRF
toe_off,R,25194,GRF
heel_strike,R,25235,GRF
toe_off,L,25248,GRF
heel_strike,L,25292,GRF
toe_off,R,25306,GRF
heel_strike,R,25349,GRF
toe_off,L,25362,kinematic
heel_strike,L,25405,kinematic
toe_off,R,25418,GRF
heel_strike,R,25460,GRF
toe_off,L,25473,GRF
heel_strike,L,25515,GRF
toe_off,R,25529,GRF
heel_strike,R,25570,GRF
toe_off,L,25584,GRF
heel_strike,L,25624,GRF
toe_off,R,25638,GRF
heel_strike,R,25679,GRF
toe_off,L,25693,GRF
heel_strike,L,25733,GRF
toe_off,R,25748,GRF
heel_strike,R,25789,GRF
toe_off,L,25802,GRF
heel_strike,L,25848,GRF
toe_off,R,25861,GRF
heel_strike,R,25902,GRF
toe_off,L,25914,GRF
heel_strike,L,25957,GRF
toe_off,R,25971,GRF
heel_strike,R,26013,GRF
toe_off,L,26026,kinematic
heel_strike,L,26068,GRF
toe_off,R,26082,GRF
heel_strike,R,26128,GRF
toe_off,L,26140,GRF
heel_strike,L,26183,GRF
toe_off,R,26198,GRF
heel_strike,R,26240,GRF
toe_off,L,26253,GRF
heel_strike,L,26297,GRF
toe_off,R,26312,GRF
heel_strike,R,26356,GRF
toe_off,L,26368,GRF
heel_strike,L,26411,GRF
toe_off,R,26425,GRF
heel_strike,R,26465,GRF
toe_off,L,26479,GRF
heel_strike,L,26523,GRF
toe_off,R,26536,GRF
heel_strike,R,26580,GRF
toe_off,L,26593,GRF
heel_strike,L,26636,GRF
toe_off,R,26650,GRF
heel_strike,R,26691,GRF
toe_off,L,26705,GRF
heel_strike,L,26746,GRF
toe_off,R,26760,GRF
heel_strike,R,26800,GRF
toe_off,L,26813,GRF
heel_strike,L,26853,GRF
toe_off,R,26868,GRF
heel_strike,R,26908,GRF
toe_off,L,26922,GRF
heel_strike,L,26961,GRF
toe_off,R,26976,GRF
heel_strike,R,27017,GRF
toe_off,L,27031,GRF
heel_strike,L,27071,GRF
toe_off,R,27085,GRF
heel_strike,R,27125,GRF
toe_off,L,27139,GRF
heel_strike,L,27179,GRF
toe_off,R,27193,GRF
heel_strike,R,27232,GRF
toe_off,L,27246,GRF
heel_strike,L,27288,GRF
toe_off,R,27302,GRF
heel_strike,R,27345,GRF
toe_off,L,27358,GRF
heel_strike,L,27400,GRF
toe_off,R,27414,GRF
heel_strike,R,27455,GRF
toe_off,L,27469,GRF
heel_strike,L,27511,GRF
toe_off,R,27525,GRF
heel_strike,R,27567,GRF
toe_off,L,27581,GRF
